Delays,Data Length
0us,22
1121us,21
6886us,25
902us,54
1382us,44
2011us,33
1322us,33
1959us,242
555us,40
1444us,74
751us,44
802us,40
1166us,52
4285us,40
6376us,74
1224us,44
1644us,40
10798us,29
1008us,33
566us,28
2572us,242
1056us,40
850us,52
1626us,33
1041us,33
1124us,74
1622us,44
1169us,40
6145us,61
3818us,14
4409us,74
1104us,44
839us,40
5915us,242
1688us,40
902us,52
2383us,44
6751us,33
1586us,33
1203us,74
949us,44
884us,40
1679us,29
1205us,33
842us,28
8803us,25
1057us,54
797us,23
930us,54
822us,32
867us,44
2373us,242
963us,40
1386us,74
1020us,44
853us,40
849us,52
4324us,40
6442us,33
934us,33
1000us,73
1662us,44
1041us,40
9097us,242
1031us,40
837us,52
1721us,29
1179us,33
898us,28
2554us,74
0us,44
1026us,40
17201us,33
1447us,33
1280us,74
934us,44
835us,40
2744us,242
795us,40
1288us,52
9517us,74
730us,44
844us,40
4936us,29
1202us,33
666us,28
10221us,25
984us,33
860us,33
1010us,54
1769us,74
1069us,44
1025us,40
841us,44
1726us,242
827us,40
1019us,44
777us,52
4820us,40
4154us,74
1291us,44
941us,40
13281us,29
1340us,33
374us,28
2712us,242
775us,40
969us,52
1757us,33
1312us,33
1199us,74
675us,44
932us,40
7623us,61
4748us,74
1086us,44
1241us,40
1346us,48
1106us,48
3783us,242
1473us,40
1146us,52
8052us,33
699us,33
1042us,74
1628us,44
1089us,40
2848us,29
1453us,33
885us,28
10837us,25
1271us,54
782us,23
1849us,74
1099us,54
842us,32
885us,44
843us,40
905us,44
1554us,242
793us,40
921us,52
3537us,40
5180us,33
1369us,33
1392us,74
611us,44
1059us,40
1575us,44
9142us,29
1381us,33
659us,28
2802us,242
1150us,40
622us,52
1306us,74
1309us,44
1188us,40
15015us,33
582us,33
1362us,74
1637us,44
740us,40
2683us,242
972us,40
855us,52
9537us,74
1174us,44
631us,40
5066us,29
763us,33
1033us,28
11228us,25
1104us,54
850us,44
2084us,33
748us,33
2201us,242
608us,40
1120us,74
953us,44
728us,40
827us,52
5229us,40
5641us,74
